generic_id,alias,lang
111,свиная отбивная,ru
111,fried pork,en
111,pork,en
111,pork chop,en
112,фарш говяжий,ru
112,говяжий фарш,ru
112,фарш,ru
112,фарш из говядины,ru
112,Фарш говяжий жареный,ru
112,ground beef,en
112,minced beef,en
112,cooked ground beef,en
113,фарш свиной,ru
113,свиной фарш,ru
113,фарш из свинины,ru
113,жареный свиной фарш,ru
113,Фарш свиной жареный,ru
113,ground pork,en
113,minced pork,en
114,котлета,ru
114,котлеты,ru
114,котлета мясная,ru
114,домашние котлеты,ru
114,котлета жареная,ru
114,Котлета мясная жареная,ru
114,meat cutlet,en
114,fried meat patty,en
115,стейк,ru
115,стейк говяжий,ru
115,говяжий стейк,ru
115,стейк из говядины,ru
115,рибай,ru
115,Стейк говяжий (гриль),ru
115,beef steak,en
115,steak,en
115,ribeye,en
116,шашлык,ru
116,шашлык свиной,ru
116,свиной шашлык,ru
116,шашлык из свинины,ru
116,мясо на мангале,ru
116,pork shashlik,en
116,pork kebab,en
116,shashlik,en
117,печень куриная,ru
117,куриная печень,ru
117,печенка куриная,ru
117,куриная печень жареная,ru
117,Печень куриная жареная,ru
117,chicken liver,en
117,fried chicken liver,en
118,печень говяжья,ru
118,говяжья печень,ru
118,печень,ru
118,печенка,ru
118,печень жареная,ru
118,Печень говяжья жареная,ru
118,beef liver,en
118,liver,en
118,fried beef liver,en
119,бекон,ru
119,бекон жареный,ru
119,жареный бекон,ru
119,копченый бекон,ru
119,bacon,en
119,fried bacon,en
119,crispy bacon,en
120,ветчина,ru
120,ветчина вареная,ru
120,ветчина свиная,ru
120,окорок вареный,ru
120,ham,en
120,cooked ham,en
121,колбаса вареная,ru
121,вареная колбаса,ru
121,докторская колбаса,ru
121,колбаса докторская,ru
121,колбаса,ru
121,Колбаса варёная (докторская),ru
121,boiled sausage,en
121,bologna,en
121,doctorskaya sausage,en
122,сосиски,ru
122,сосиска,ru
122,сосиски молочные,ru
122,вареные сосиски,ru
122,Сосиски отварные,ru
122,sausages,en
122,frankfurter,en
122,hot dog sausage,en
123,сардельки,ru
123,сарделька,ru
123,сардельки вареные,ru
123,вареные сардельки,ru
123,Сардельки отварные,ru
123,sardelki,en
123,thick boiled sausage,en
124,салями,ru
124,колбаса салями,ru
124,сырокопченая колбаса,ru
124,колбаса сырокопченая,ru
124,salami,en
124,hard salami,en
124,dry sausage,en
201,лосось,ru
201,семга,ru
201,лосось запеченный,ru
201,семга запеченная,ru
201,стейк из лосося,ru
201,salmon,en
201,baked salmon,en
201,salmon fillet,en
202,семга слабосоленая,ru
202,сёмга соленая,ru
202,лосось слабосоленый,ru
202,соленая семга,ru
202,слабосоленая красная рыба,ru
202,salted salmon,en
202,lox,en
202,cured salmon,en
202,lightly salted salmon,en
203,форель,ru
203,форель запеченная,ru
203,стейк из форели,ru
203,радужная форель,ru
203,форель в духовке,ru
203,trout,en
203,baked trout,en
203,rainbow trout,en
204,треска,ru
204,треска отварная,ru
204,треска вареная,ru
204,треска на пару,ru
204,филе трески,ru
204,cod,en
204,boiled cod,en
204,cod fillet,en
205,минтай,ru
205,минтай жареный,ru
205,минтай на сковороде,ru
205,филе минтая,ru
205,pollock,en
205,fried pollock,en
205,alaska pollock,en
206,тунец,ru
206,тунец консервированный,ru
206,тунец в собственном соку,ru
206,консервированный тунец,ru
206,тунец из банки,ru
206,Тунец консервированный в собственном соку,ru
206,canned tuna,en
206,tuna in water,en
206,tuna,en
207,селедка,ru
207,сельдь,ru
207,селедка соленая,ru
207,сельдь соленая,ru
207,слабосоленая селедка,ru
207,salted herring,en
207,herring,en
207,pickled herring,en
208,скумбрия,ru
208,скумбрия копченая,ru
208,копченая скумбрия,ru
208,скумбрия горячего копчения,ru
208,smoked mackerel,en
208,mackerel,en
209,креветки,ru
209,креветки отварные,ru
209,вареные креветки,ru
209,креветки очищенные,ru
209,королевские креветки,ru
209,shrimp,en
209,boiled shrimp,en
209,prawns,en
210,кальмар,ru
210,кальмары,ru
210,кальмар отварной,ru
210,кальмары вареные,ru
210,филе кальмара,ru
210,squid,en
210,boiled squid,en
210,calamari,en
211,икра красная,ru
211,красная икра,ru
211,икра лососевая,ru
211,икра горбуши,ru
211,икра кеты,ru
211,red caviar,en
211,salmon roe,en
211,caviar,en
212,яйцо,ru
212,яйца,ru
212,яйцо вареное,ru
212,вареное яйцо,ru
212,яйцо вкрутую,ru
212,яйца отварные,ru
212,Яйцо куриное варёное,ru
212,egg,en
212,boiled egg,en
212,hard boiled egg,en
213,яичница,ru
213,глазунья,ru
213,жареное яйцо,ru
213,яйцо жареное,ru
213,яичница глазунья,ru
213,fried egg,en
213,sunny side up,en
213,fried eggs,en
214,омлет,ru
214,омлет с молоком,ru
214,болтунья,ru
214,яичница болтунья,ru
214,омлет из двух яиц,ru
214,omelette,en
214,scrambled eggs,en
214,omelet,en
215,фасоль,ru
215,фасоль отварная,ru
215,вареная фасоль,ru
215,фасоль красная отварная,ru
215,фасоль белая отварная,ru
215,boiled beans,en
215,kidney beans,en
215,beans,en
216,фасоль консервированная,ru
216,консервированная фасоль,ru
216,фасоль из банки,ru
216,фасоль в томате,ru
216,фасоль в томатном соусе,ru
216,canned beans,en
216,baked beans,en
217,нут,ru
217,нут отварной,ru
217,нут вареный,ru
217,вареный нут,ru
217,турецкий горох,ru
217,chickpeas,en
217,boiled chickpeas,en
217,garbanzo beans,en
218,чечевица,ru
218,чечевица отварная,ru
218,вареная чечевица,ru
218,чечевица красная отварная,ru
218,чечевичная каша,ru
218,lentils,en
218,boiled lentils,en
218,cooked lentils,en
219,шампиньоны,ru
219,шампиньоны жареные,ru
219,жареные шампиньоны,ru
219,грибы жареные,ru
219,жареные грибы,ru
219,fried mushrooms,en
219,champignons,en
219,sauteed mushrooms,en
220,грецкий орех,ru
220,грецкие орехи,ru
220,орехи грецкие,ru
220,ядра грецкого ореха,ru
220,walnut,en
220,walnuts,en
221,миндаль,ru
221,миндальный орех,ru
221,миндальные орехи,ru
221,миндаль сырой,ru
221,almonds,en
221,almond,en
222,арахис,ru
222,арахис жареный,ru
222,жареный арахис,ru
222,земляной орех,ru
222,арахис соленый,ru
222,peanuts,en
222,roasted peanuts,en
222,peanut,en
223,кешью,ru
223,орехи кешью,ru
223,орех кешью,ru
223,кешью сырой,ru
223,cashews,en
223,cashew nuts,en
223,cashew,en
224,семечки,ru
224,семечки подсолнечные,ru
224,подсолнечные семечки,ru
224,семена подсолнуха,ru
224,семечки жареные,ru
224,Семечки подсолнечные жареные,ru
224,sunflower seeds,en
224,sunflower kernels,en
224,roasted sunflower seeds,en
301,молоко 25,ru
301,молоко 2 5,ru
301,молоко полужирное,ru
301,молоко 2 5 процента,ru
301,"Молоко 2,5%",ru
301,milk 2.5%,en
301,semi skimmed milk,en
301,partly skimmed milk,en
302,молоко,ru
302,молоко 32,ru
302,молоко 3 2,ru
302,молоко коровье,ru
302,цельное молоко,ru
302,"Молоко 3,2%",ru
302,milk,en
302,whole milk,en
302,milk 3.2%,en
302,cow milk,en
303,кефир 1,ru
303,кефир нежирный,ru
303,кефир 1 процент,ru
303,Кефир 1%,ru
303,kefir 1%,en
303,low fat kefir,en
304,кефир,ru
304,кефир 25,ru
304,кефир 2 5,ru
304,кефир 2 5 процента,ru
304,"Кефир 2,5%",ru
304,kefir,en
304,kefir 2.5%,en
305,ряженка,ru
305,ряженка 4,ru
305,варенец,ru
305,ряженка 4 процента,ru
305,Ряженка 4%,ru
305,ryazhenka,en
305,fermented baked milk,en
306,йогурт,ru
306,йогурт натуральный,ru
306,йогурт без сахара,ru
306,йогурт без добавок,ru
306,белый йогурт,ru
306,"Йогурт натуральный 3,2%",ru
306,yogurt,en
306,plain yogurt,en
306,natural yogurt,en
306,unsweetened yogurt,en
307,йогурт питьевой,ru
307,питьевой йогурт,ru
307,фруктовый йогурт,ru
307,йогурт клубничный,ru
307,йогурт сладкий,ru
307,Йогурт питьевой фруктовый,ru
307,drinkable yogurt,en
307,yogurt drink,en
307,fruit yogurt,en
308,творог обезжиренный,ru
308,творог 0,ru
308,творог нежирный,ru
308,творог 0 1,ru
308,Творог обезжиренный 0%,ru
308,nonfat cottage cheese,en
308,fat free quark,en
308,tvorog 0%,en
309,творог,ru
309,творог 5,ru
309,творог 5 процентов,ru
309,творог полужирный,ru
309,Творог 5%,ru
309,cottage cheese,en
309,quark,en
309,tvorog,en
309,curd cheese,en
310,творог 9,ru
310,творог жирный,ru
310,творог домашний,ru
310,творог 9 процентов,ru
310,Творог 9%,ru
310,cottage cheese 9%,en
310,full fat quark,en
311,сметана 15,ru
311,сметана нежирная,ru
311,сметана легкая,ru
311,сметана 15 процентов,ru
311,Сметана 15%,ru
311,sour cream 15%,en
311,light sour cream,en
312,сметана,ru
312,сметана 20,ru
312,сметана жирная,ru
312,сметана 20 процентов,ru
312,Сметана 20%,ru
312,sour cream,en
312,sour cream 20%,en
313,сливки,ru
313,сливки 10,ru
313,сливки для кофе,ru
313,сливки нежирные,ru
313,сливки 11,ru
313,Сливки 10%,ru
313,cream,en
313,light cream,en
313,coffee cream,en
313,cream 10%,en
314,сливки 20,ru
314,сливки жирные,ru
314,сливки для соуса,ru
314,сливки 22,ru
314,Сливки 20%,ru
314,cream 20%,en
314,cooking cream,en
314,single cream,en
315,сыр,ru
315,сыр твердый,ru
315,сыр российский,ru
315,сыр голландский,ru
315,сыр гауда,ru
315,твердый сыр,ru
315,Сыр твёрдый (российский),ru
315,cheese,en
315,hard cheese,en
315,gouda,en
315,russian cheese,en
316,сыр плавленый,ru
316,плавленый сыр,ru
316,сырок плавленый,ru
316,сыр виола,ru
316,хохланд,ru
316,processed cheese,en
316,cheese spread,en
316,spreadable cheese,en
317,моцарелла,ru
317,сыр моцарелла,ru
317,моцарелла в рассоле,ru
317,сыр для пиццы,ru
317,mozzarella,en
317,fresh mozzarella,en
317,pizza cheese,en
318,брынза,ru
318,фета,ru
318,сыр брынза,ru
318,сыр фета,ru
318,фетакса,ru
318,Брынза (фета),ru
318,feta,en
318,brynza,en
318,brined cheese,en
318,white cheese,en
319,масло сливочное,ru
319,сливочное масло,ru
319,масло 82,ru
319,масло на хлеб,ru
319,"Масло сливочное 82,5%",ru
319,butter,en
319,unsalted butter,en
319,butter 82.5%,en
320,мороженое,ru
320,пломбир,ru
320,мороженое пломбир,ru
320,мороженое в стаканчике,ru
320,ice cream,en
320,plombir,en
320,vanilla ice cream,en
321,сгущенка,ru
321,сгущенное молоко,ru
321,молоко сгущенное,ru
321,сгущенка с сахаром,ru
321,вареная сгущенка,ru
321,Молоко сгущённое с сахаром,ru
321,condensed milk,en
321,sweetened condensed milk,en
322,протеиновый коктейль,ru
322,протеиновый шейк,ru
322,коктейль протеиновый,ru
322,протеин на воде,ru
322,Протеиновый коктейль на воде (готовый),ru
322,protein shake,en
322,whey shake,en
322,whey protein drink,en
401,картошка,ru
401,картофель,ru
401,картошка вареная,ru
401,картофель вареный,ru
401,картофель отварной,ru
401,картошка отварная,ru
401,boiled potato,en
401,potato boiled,en
401,potatoes,en
402,картошка жареная,ru
402,жареная картошка,ru
402,картофель жареный,ru
402,жареный картофель,ru
402,картошка на сковороде,ru
402,fried potato,en
402,pan fried potatoes,en
403,пюре,ru
403,картофельное пюре,ru
403,пюре картофельное,ru
403,пюрешка,ru
403,картошка пюре,ru
403,mashed potatoes,en
403,potato mash,en
404,морковь,ru
404,морковка,ru
404,морковь сырая,ru
404,морковка свежая,ru
404,тертая морковь,ru
404,carrot,en
404,raw carrot,en
404,морковь вареная,ru
404,вареная морковь,ru
404,морковь отварная,ru
404,морковка вареная,ru
404,boiled carrot,en
404,cooked carrot,en
406,свекла,ru
406,свекла вареная,ru
406,вареная свекла,ru
406,свекла отварная,ru
406,буряк,ru
406,boiled beet,en
406,beetroot,en
407,капуста,ru
407,капуста белокочанная,ru
407,белокочанная капуста,ru
407,капуста свежая,ru
407,капуста сырая,ru
407,Капуста белокочанная свежая,ru
407,cabbage,en
407,white cabbage,en
407,raw cabbage,en
408,капуста тушеная,ru
408,тушеная капуста,ru
408,тушенная капуста,ru
408,капуста тушеная на масле,ru
408,stewed cabbage,en
408,braised cabbage,en
409,брокколи,ru
409,брокколи вареная,ru
409,брокколи отварная,ru
409,брокколи на пару,ru
409,капуста брокколи,ru
409,broccoli,en
409,boiled broccoli,en
409,steamed broccoli,en
410,огурец,ru
410,огурцы,ru
410,огурец свежий,ru
410,свежий огурец,ru
410,огурчик,ru
410,cucumber,en
410,fresh cucumber,en
411,помидор,ru
411,помидоры,ru
411,томат,ru
411,помидор свежий,ru
411,томаты свежие,ru
411,tomato,en
411,fresh tomato,en
412,перец болгарский,ru
412,болгарский перец,ru
412,сладкий перец,ru
412,перец сладкий,ru
412,паприка свежая,ru
412,Перец болгарский свежий,ru
412,bell pepper,en
412,sweet pepper,en
413,лук,ru
413,лук репчатый,ru
413,репчатый лук,ru
413,луковица,ru
413,лук сырой,ru
413,Лук репчатый сырой,ru
413,onion,en
413,raw onion,en
414,кабачок,ru
414,кабачки,ru
414,кабачок тушеный,ru
414,тушеные кабачки,ru
414,stewed zucchini,en
414,zucchini,en
414,courgette,en
415,авокадо,ru
415,авокадо свежее,ru
415,мякоть авокадо,ru
415,avocado,en
415,hass avocado,en
416,салат листовой,ru
416,листовой салат,ru
416,зеленый салат,ru
416,латук,ru
416,айсберг,ru
416,листья салата,ru
416,lettuce,en
416,leaf lettuce,en
416,salad greens,en
417,укроп,ru
417,укроп свежий,ru
417,свежий укроп,ru
417,зелень укропа,ru
417,пучок укропа,ru
417,dill,en
417,fresh dill,en
418,банан,ru
418,бананы,ru
418,банан свежий,ru
418,банан очищенный,ru
418,banana,en
418,fresh banana,en
419,яблоко,ru
419,яблоки,ru
419,яблоко свежее,ru
419,яблочко,ru
419,яблоко зеленое,ru
419,apple,en
419,fresh apple,en
420,груша,ru
420,груши,ru
420,груша свежая,ru
420,грушка,ru
420,pear,en
420,fresh pear,en
421,апельсин,ru
421,апельсины,ru
421,апельсин свежий,ru
421,апельсин очищенный,ru
421,orange,en
421,fresh orange,en
422,мандарин,ru
422,мандарины,ru
422,мандаринка,ru
422,мандарин очищенный,ru
422,mandarin,en
422,tangerine,en
422,clementine,en
423,киви,ru
423,киви свежий,ru
423,киви очищенный,ru
423,плод киви,ru
423,kiwi,en
423,kiwifruit,en
424,виноград,ru
424,виноград свежий,ru
424,кишмиш,ru
424,гроздь винограда,ru
424,виноград зеленый,ru
424,grapes,en
424,table grapes,en
425,клубника,ru
425,клубника свежая,ru
425,земляника садовая,ru
425,ягоды клубники,ru
425,клубничка,ru
425,strawberry,en
425,strawberries,en
426,арбуз,ru
426,арбуз свежий,ru
426,долька арбуза,ru
426,мякоть арбуза,ru
426,арбуз без корки,ru
426,watermelon,en
426,fresh watermelon,en
501,оливковое масло,ru
501,масло оливковое,ru
501,оливковое,ru
501,масло оливы,ru
501,olive oil,en
501,extra virgin olive oil,en
502,подсолнечное масло,ru
502,масло подсолнечное,ru
502,растительное масло,ru
502,масло растительное,ru
502,постное масло,ru
502,sunflower oil,en
502,vegetable oil,en
503,майонез,ru
503,провансаль,ru
503,майонез провансаль,ru
503,Майонез 67%,ru
503,mayonnaise,en
503,mayo,en
504,кетчуп,ru
504,кетчуп томатный,ru
504,томатный кетчуп,ru
504,томатный соус,ru
504,ketchup,en
504,tomato ketchup,en
505,соевый соус,ru
505,соус соевый,ru
505,соевый,ru
505,soy sauce,en
505,shoyu,en
506,сахар,ru
506,сахарный песок,ru
506,сахар песок,ru
506,сахар белый,ru
506,sugar,en
506,white sugar,en
506,granulated sugar,en
507,мед,ru
507,мед натуральный,ru
507,мед цветочный,ru
507,honey,en
507,natural honey,en
508,варенье,ru
508,джем,ru
508,повидло,ru
508,конфитюр,ru
508,jam,en
508,fruit jam,en
508,preserves,en
509,молочный шоколад,ru
509,шоколад молочный,ru
509,шоколад,ru
509,шоколадка,ru
509,milk chocolate,en
509,chocolate bar,en
510,горький шоколад,ru
510,шоколад горький,ru
510,темный шоколад,ru
510,черный шоколад,ru
510,dark chocolate,en
510,bitter chocolate,en
511,конфеты,ru
511,конфета,ru
511,шоколадные конфеты,ru
511,конфеты шоколадные,ru
511,chocolate candy,en
511,chocolates,en
512,печенье,ru
512,печеньки,ru
512,печенюшки,ru
512,печенье сахарное,ru
512,cookies,en
512,biscuits,en
512,sugar cookies,en
513,вафли,ru
513,вафля,ru
513,вафельки,ru
513,вафли с начинкой,ru
513,waffles,en
513,wafers,en
514,торт,ru
514,тортик,ru
514,бисквитный торт,ru
514,торт с кремом,ru
514,Торт бисквитный с кремом,ru
514,cake,en
514,sponge cake,en
515,круассан,ru
515,круасан,ru
515,круассаны,ru
515,круассан с маслом,ru
515,croissant,en
515,butter croissant,en
516,чипсы,ru
516,чипсики,ru
516,картофельные чипсы,ru
516,чипсы картофельные,ru
516,potato chips,en
516,crisps,en
517,попкорн,ru
517,поп корн,ru
517,воздушная кукуруза,ru
517,попкорн соленый,ru
517,popcorn,en
517,salted popcorn,en
518,кола,ru
518,кока кола,ru
518,пепси,ru
518,газировка,ru
518,cola,en
518,coca cola,en
518,soda,en
519,апельсиновый сок,ru
519,сок апельсиновый,ru
519,сок из апельсина,ru
519,апельсиновый фреш,ru
519,orange juice,en
519,oj,en
520,кофе,ru
520,черный кофе,ru
520,кофе без сахара,ru
520,американо,ru
520,эспрессо,ru
520,Кофе чёрный без сахара,ru
520,black coffee,en
520,coffee,en
520,americano,en
521,кофе с молоком,ru
521,латте,ru
521,капучино,ru
521,кофе латте,ru
521,Кофе с молоком без сахара,ru
521,coffee with milk,en
521,latte,en
521,cappuccino,en
522,чай,ru
522,чай без сахара,ru
522,черный чай,ru
522,зеленый чай,ru
522,tea,en
522,black tea,en
522,green tea,en
523,пиво,ru
523,пиво светлое,ru
523,светлое пиво,ru
523,пивко,ru
523,beer,en
523,lager,en
524,вино,ru
524,сухое вино,ru
524,вино сухое,ru
524,красное вино,ru
524,белое вино,ru
524,dry wine,en
524,red wine,en
524,wine,en
601,суп,ru
601,куриный суп,ru
601,суп с лапшой,ru
601,куриная лапша,ru
601,суп куриный с лапшой,ru
601,chicken noodle soup,en
601,noodle soup,en
601,chicken soup,en
602,борщ,ru
602,борщик,ru
602,борщ с мясом,ru
602,красный борщ,ru
602,борщ украинский,ru
602,borscht,en
602,borsch,en
602,beet soup,en
603,щи,ru
603,щи из капусты,ru
603,капустный суп,ru
603,щи кислые,ru
603,щи мясные,ru
603,shchi,en
603,cabbage soup,en
603,russian cabbage soup,en
604,солянка,ru
604,солянка мясная,ru
604,суп солянка,ru
604,сборная солянка,ru
604,solyanka,en
604,meat solyanka,en
604,mixed meat soup,en
605,уха,ru
605,рыбный суп,ru
605,уха из рыбы,ru
605,суп из рыбы,ru
605,уха рыбацкая,ru
605,ukha,en
605,fish soup,en
605,russian fish soup,en
606,грибной суп,ru
606,суп пюре грибной,ru
606,крем суп грибной,ru
606,грибной крем суп,ru
606,суп из грибов,ru
606,Суп-пюре грибной,ru
606,mushroom soup,en
606,cream of mushroom soup,en
606,mushroom puree soup,en
607,рассольник,ru
607,рассольник ленинградский,ru
607,суп с огурцами,ru
607,рассольник с перловкой,ru
607,rassolnik,en
607,pickle soup,en
607,barley pickle soup,en
608,пельмени,ru
608,пельмешки,ru
608,пельмени отварные,ru
608,вареные пельмени,ru
608,пельмени с мясом,ru
608,pelmeni,en
608,boiled pelmeni,en
608,meat dumplings,en
609,вареники,ru
609,вареники с картошкой,ru
609,вареники с картофелем,ru
609,картофельные вареники,ru
609,vareniki,en
609,potato vareniki,en
609,potato dumplings,en
610,плов,ru
610,плов с курицей,ru
610,куриный плов,ru
610,узбекский плов,ru
610,plov,en
610,chicken pilaf,en
610,pilaf,en
611,голубцы,ru
611,голубец,ru
611,голубцы с мясом,ru
611,капустные голубцы,ru
611,golubtsy,en
611,stuffed cabbage rolls,en
611,cabbage rolls,en
612,гречка с курицей,ru
612,гречка с курой,ru
612,куриная гречка,ru
612,греча с курицей,ru
612,гречка и курица,ru
612,buckwheat with chicken,en
612,grechka with chicken,en
612,chicken buckwheat,en
613,макароны по флотски,ru
613,макароны с фаршем,ru
613,паста по флотски,ru
613,спагетти с фаршем,ru
613,Макароны по-флотски,ru
613,navy style pasta,en
613,pasta with ground beef,en
613,macaroni with minced meat,en
614,пюре с котлетой,ru
614,картофельное пюре с котлетой,ru
614,котлета с пюре,ru
614,пюре и котлета,ru
614,картошка пюре с котлетой,ru
614,mashed potatoes with cutlet,en
614,mashed potato and patty,en
614,cutlet with mashed potatoes,en
621,пицца,ru
621,пицца пепперони,ru
621,пепперони,ru
621,пеперони,ru
621,пицца с колбасой,ru
621,pizza,en
621,pepperoni pizza,en
621,pizza pepperoni,en
622,пицца маргарита,ru
622,маргарита,ru
622,пицца с сыром,ru
622,сырная пицца,ru
622,margherita pizza,en
622,pizza margherita,en
622,margarita pizza,en
623,чизбургер,ru
623,бургер,ru
623,чиз бургер,ru
623,гамбургер с сыром,ru
623,бургер с сыром,ru
623,cheeseburger,en
623,burger,en
623,cheese burger,en
624,гамбургер,ru
624,бургер без сыра,ru
624,котлета в булке,ru
624,булка с котлетой,ru
624,hamburger,en
624,plain burger,en
624,beef burger,en
625,шаурма,ru
625,шаверма,ru
625,шаурма с курицей,ru
625,шаурма куриная,ru
625,донер,ru
625,shawarma,en
625,chicken shawarma,en
625,doner,en
626,хот дог,ru
626,хотдог,ru
626,сосиска в булке,ru
626,хот дог с сосиской,ru
626,Хот-дог,ru
626,hot dog,en
626,hotdog,en
626,sausage in bun,en
627,картофель фри,ru
627,картошка фри,ru
627,фри,ru
627,картоха фри,ru
627,french fries,en
627,fries,en
627,potato fries,en
628,наггетсы,ru
628,куриные наггетсы,ru
628,нагетсы,ru
628,наггетсы куриные,ru
628,chicken nuggets,en
628,nuggets,en
628,fried chicken nuggets,en
629,блины,ru
629,блины со сметаной,ru
629,блинчики,ru
629,блинчики со сметаной,ru
629,блины сметана,ru
629,pancakes with sour cream,en
629,blini,en
629,crepes with sour cream,en
630,сырники,ru
630,сырник,ru
630,творожники,ru
630,сырники из творога,ru
